id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1,38079.47,triangle,0.7588,31.97,38183.59,0.273433,1,21,27.69
2,16445.85,sine,0.1523,37.32,16542.97,0.590565,1,53,55.74
3,60510.39,triangle,0.1185,39.40,60522.46,0.019955,1,26,30.62
4,83411.82,sine,0.2636,23.67,83500.98,0.106885,1,12,14.31
5,31119.98,square,0.4888,25.82,31171.88,0.166751,1,25,34.93
6,61573.44,sine,0.3629,27.33,61606.45,0.053609,1,20,24.50
7,46150.93,triangle,0.2797,30.28,46274.41,0.267569,1,10,12.43
8,59649.04,sine,0.6468,23.41,59658.20,0.015358,1,63,70.01
9,7440.11,triangle,0.9691,36.17,7543.95,1.395647,1,52,67.21
10,31156.76,sine,0.7158,28.80,31264.65,0.346266,1,24,29.63
11,13081.79,square,0.1309,38.19,13183.59,0.778246,1,61,79.11
12,26619.22,square,0.3805,30.40,26728.52,0.410596,1,39,55.21
13,55124.32,sine,0.9726,35.50,55200.20,0.137648,1,38,136.42
14,94010.40,triangle,0.6381,38.44,94072.27,0.065812,1,23,25.94
15,9760.76,sine,0.1407,26.51,9843.75,0.850265,1,73,74.78
16,39479.05,sine,0.8459,27.14,39531.25,0.132218,1,9,8.37
17,28812.52,square,0.2268,36.04,28886.72,0.257535,1,13,17.60
18,8380.51,triangle,0.7950,23.97,8471.68,1.087833,1,14,16.11
19,1546.69,triangle,0.7362,34.58,1552.73,0.390820,1,255,192.68
20,77355.76,sine,0.4226,22.32,77446.29,0.117024,1,50,52.78
21,86447.24,square,0.3978,21.27,86474.61,0.031661,1,39,61.11
22,31787.25,sine,0.7566,32.75,31914.06,0.398942,1,17,21.77
23,88834.06,square,0.2076,34.26,88901.37,0.075766,1,4,6.92
24,76317.72,square,0.7939,29.88,76420.90,0.135196,1,28,44.20
25,52750.55,square,0.1229,22.16,52827.15,0.145209,1,12,20.77
26,4111.49,square,0.3829,30.17,4321.29,5.102766,1,66,181.45
27,90849.08,sine,0.4693,35.11,90947.27,0.108075,1,83,89.39
28,23651.02,sine,0.3608,23.22,23730.47,0.335928,1,37,43.24
29,93040.07,triangle,0.6701,37.43,93164.06,0.133270,1,1,1.30
30,80563.54,sine,0.9033,30.79,80629.88,0.082354,1,24,28.64
31,80936.58,triangle,0.3862,22.20,81010.74,0.091636,1,8,10.55
32,23565.58,square,0.8362,37.21,23657.23,0.388895,1,38,46.58
33,1688.26,square,0.4757,24.44,1772.46,4.987382,1,240,192.02
34,12866.67,square,0.9486,26.46,12963.87,0.755408,1,66,91.36
35,52360.27,triangle,0.4273,39.44,52373.05,0.024399,1,15,29.89
36,96282.28,sine,0.5475,26.02,96411.13,0.133826,1,2,2.01
37,29199.21,sine,0.6486,30.05,29301.76,0.351204,1,8,7.71
38,6096.40,sine,0.9174,24.79,6201.17,1.718646,1,107,87.11
39,15344.59,square,0.9871,24.84,15468.75,0.809130,1,9,107.52
40,67541.42,triangle,0.3139,34.56,67602.54,0.090492,1,6,5.66
41,37410.53,square,0.6702,30.72,37509.77,0.265261,1,27,38.96
42,9938.69,triangle,0.3887,23.73,10014.65,0.764298,1,68,54.30
43,5036.74,square,0.7098,20.33,5273.44,4.699439,1,1,1.10
44,51697.21,sine,0.6807,23.49,51767.58,0.136111,1,19,17.91
45,69402.84,square,0.9431,22.75,69467.77,0.093566,1,14,19.00
46,34765.57,sine,0.9322,37.55,34863.28,0.281061,1,21,18.21
47,26536.22,square,0.8355,31.10,26645.51,0.411840,1,40,51.23
48,53435.41,sine,0.1838,37.94,53496.09,0.113570,1,29,35.44
49,90141.39,square,0.4051,26.98,90234.38,0.103157,1,25,38.87
50,72869.61,triangle,0.8984,35.60,72949.22,0.109245,1,29,44.88
51,64561.13,sine,0.2455,37.97,64677.73,0.180606,1,3,4.92
