id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1,8116.26,triangle,0.7588,31.97,8227.54,1.371035,1,24,43.79
2,3964.35,sine,0.1523,37.32,4130.86,4.200059,1,79,80.42
3,12421.19,triangle,0.1185,39.40,12524.41,0.831071,1,76,77.99
4,16816.41,sine,0.2636,23.67,16918.95,0.609733,1,46,45.95
5,6780.60,square,0.4888,25.82,6884.77,1.536191,1,79,81.64
6,12625.20,sine,0.3629,27.33,12700.20,0.593973,1,72,78.35
7,9665.33,triangle,0.2797,30.28,9741.21,0.785087,1,76,80.43
8,12255.88,sine,0.6468,23.41,12304.69,0.398264,1,1,1.96
9,2235.98,triangle,0.9691,36.17,2255.86,0.889056,1,207,196.63
10,6787.66,sine,0.7158,28.80,6884.77,1.430596,1,79,75.16
11,3318.73,square,0.1309,38.19,3486.33,5.050180,1,123,133.33
12,5916.82,square,0.3805,30.40,6005.86,1.504858,1,115,117.64
13,11387.50,sine,0.9726,35.50,11518.55,1.150906,1,24,119.97
14,18850.48,triangle,0.6381,38.44,18959.96,0.580787,1,8,26.39
15,2681.36,sine,0.1407,26.51,2797.85,4.344591,1,170,219.26
16,8384.87,sine,0.8459,27.14,8520.51,1.617668,1,12,13.72
17,6337.76,square,0.2268,36.04,6445.31,1.697081,1,97,108.08
18,2416.46,triangle,0.7950,23.97,2431.64,0.628125,1,195,170.49
19,1104.92,triangle,0.7362,34.58,,,0,260,211.79
20,15654.14,sine,0.4226,22.32,15776.37,0.780820,1,2,2.92
21,17398.97,square,0.3978,21.27,17509.77,0.636823,1,35,40.24
22,6908.66,sine,0.7566,32.75,7006.84,1.420996,1,74,78.90
23,17857.04,square,0.2076,34.26,17939.45,0.461504,1,27,34.97
24,15454.92,square,0.7939,29.88,15556.64,0.658203,1,7,8.18
25,10931.92,square,0.1229,22.16,11074.22,1.301646,1,37,41.70
26,1597.15,square,0.3829,30.17,1669.92,4.556062,1,247,278.50
27,18243.76,sine,0.4693,35.11,18369.14,0.687236,1,19,54.98
28,5347.17,sine,0.3608,23.22,5419.92,1.360660,1,139,326.16
29,18664.26,triangle,0.6701,37.43,18745.12,0.433244,1,12,30.04
30,16269.77,sine,0.9033,30.79,16381.84,0.688802,1,56,133.07
31,16341.36,triangle,0.3862,22.20,16435.55,0.576353,1,55,97.89
32,5330.77,square,0.8362,37.21,5419.92,1.672438,1,139,160.29
33,1132.09,square,0.4757,24.44,,,0,260,213.81
34,3277.44,square,0.9486,26.46,3442.38,5.032609,1,126,146.68
35,10857.02,triangle,0.4273,39.44,10937.50,0.741255,1,41,55.52
36,19286.50,sine,0.5475,26.02,19335.94,0.256339,1,1,1.25
37,6411.97,sine,0.6486,30.05,6518.55,1.662286,1,94,93.07
38,1978.10,sine,0.9174,24.79,2065.43,4.415023,1,220,172.25
39,3753.00,square,0.9871,24.84,3940.43,4.994058,1,92,209.07
40,13770.58,triangle,0.3139,34.56,13886.72,0.843417,1,45,55.40
41,7987.88,square,0.6702,30.72,8129.88,1.777735,1,28,30.60
42,2715.51,triangle,0.3887,23.73,2739.26,0.874687,1,174,147.94
43,1774.73,square,0.7098,20.33,1860.35,4.824620,1,234,202.59
44,10729.77,sine,0.6807,23.49,10834.96,0.980383,1,44,51.42
45,14127.82,square,0.9431,22.75,14238.28,0.781892,1,37,49.90
46,7480.26,sine,0.9322,37.55,7592.77,1.504129,1,50,45.33
47,5900.89,square,0.8355,31.10,6005.86,1.778858,1,115,136.49
48,11063.36,sine,0.1838,37.94,11176.76,1.024976,1,34,40.00
49,18107.94,square,0.4051,26.98,18208.01,0.552601,1,22,34.81
50,14793.16,triangle,0.8984,35.60,14897.46,0.705076,1,22,41.65
51,13198.60,sine,0.2455,37.97,13271.48,0.552203,1,59,58.43
52,12522.15,sine,0.1913,33.27,12612.30,0.719945,1,74,150.99
53,1096.17,sine,0.5939,33.84,,,0,260,179.81
54,13387.26,sine,0.7410,24.74,13491.21,0.776462,1,54,63.24
55,7182.59,triangle,0.6847,36.98,7275.39,1.291962,1,63,59.11
56,13494.64,square,0.1843,27.35,13579.10,0.625853,1,52,64.91
57,6038.84,sine,0.9757,27.86,6127.93,1.475194,1,110,105.49
58,17948.88,square,0.8153,30.05,18046.88,0.545942,1,25,35.80
59,11961.17,square,0.2757,34.45,12099.61,1.157374,1,7,15.93
60,6334.67,sine,0.6809,23.54,6445.31,1.746540,1,97,98.40
61,18868.71,triangle,0.9234,27.40,18959.96,0.483593,1,8,11.63
62,1293.68,triangle,0.4854,39.33,,,0,260,198.91
63,19308.78,triangle,0.3650,27.70,19335.94,0.140651,1,1,1.56
64,17171.60,sine,0.2525,31.14,17294.92,0.718192,1,39,42.38
65,18786.94,triangle,0.6131,21.94,18906.25,0.635065,1,9,108.82
66,12685.14,triangle,0.2261,30.37,12788.09,0.811569,1,70,70.41
67,17670.09,triangle,0.7273,34.05,17778.32,0.612515,1,30,32.97
68,7830.33,sine,0.8284,36.20,7958.98,1.643002,1,35,40.09
69,17474.37,triangle,0.5602,30.03,17563.48,0.509904,1,34,42.01
70,16167.61,square,0.7318,35.92,16274.41,0.660615,1,58,76.37
71,17910.10,square,0.4380,21.88,17993.16,0.463775,1,26,41.47
72,11987.32,sine,0.5190,30.85,12099.61,0.936712,1,7,7.30
73,6444.28,square,0.1275,20.75,6542.97,1.531357,1,93,119.21
74,16629.41,square,0.2144,30.44,16704.10,0.449149,1,50,63.46
75,15629.88,sine,0.6606,21.71,15732.42,0.656079,1,3,3.88
76,1981.95,square,0.5866,32.75,2080.08,4.950947,1,219,206.89
77,14795.74,triangle,0.5647,26.46,14897.46,0.687533,1,22,40.11
78,16108.54,sine,0.4951,21.57,16220.70,0.696310,1,59,157.37
79,1481.66,triangle,0.8524,33.92,1494.14,0.842060,1,259,365.22
80,8770.11,sine,0.2408,25.00,8852.54,0.939933,1,102,92.51
81,11435.31,triangle,0.6942,25.60,11552.73,1.026888,1,23,26.17
82,19142.44,triangle,0.5989,32.23,19228.52,0.449657,1,3,3.16
83,8972.40,sine,0.4204,35.16,9057.62,0.949757,1,96,99.21
84,1273.48,sine,0.1414,20.81,,,0,260,205.90
85,17253.75,triangle,0.5268,21.96,17348.63,0.549919,1,38,59.48
86,10340.70,square,0.2559,28.68,10424.80,0.813321,1,56,72.00
87,8571.59,square,0.6716,20.91,8715.82,1.682656,1,4,7.37
88,8117.64,square,0.5528,37.13,8251.95,1.654587,1,23,31.64
89,13515.18,sine,0.1635,32.85,13623.05,0.798124,1,51,51.91
90,1503.71,square,0.9462,31.51,1582.03,5.208191,1,253,203.03
91,8375.23,square,0.5124,30.91,8520.51,1.734630,1,12,107.60
92,18887.83,square,0.9651,38.11,19013.67,0.666252,1,7,10.59
93,4720.03,sine,0.1907,20.36,4936.52,4.586662,1,24,24.32
94,2794.42,triangle,0.1641,26.38,2812.50,0.647139,1,169,150.54
95,17052.63,sine,0.8330,25.64,17133.79,0.475927,1,42,49.38
96,3245.13,triangle,0.6660,37.55,3266.60,0.661601,1,138,124.35
97,14966.35,triangle,0.3538,23.55,15073.24,0.714218,1,18,21.07
98,15261.68,triangle,0.9915,28.25,15380.86,0.780904,1,11,11.09
99,8068.34,triangle,0.4067,38.62,8178.71,1.367905,1,26,23.68
100,17309.84,square,0.7758,35.09,17402.34,0.534387,1,37,45.48
101,2959.35,triangle,0.5547,36.53,2973.63,0.482514,1,158,140.28
102,7080.94,triangle,0.4503,20.22,7177.73,1.366936,1,67,81.48
103,18202.26,sine,0.3874,39.00,18315.43,0.621748,1,20,39.03
104,19061.54,square,0.6687,28.97,19174.80,0.594228,1,4,87.09
105,6571.00,sine,0.7053,35.05,6665.04,1.431051,1,88,127.05
106,16040.00,triangle,0.1821,29.89,16113.28,0.456854,1,61,173.61
107,2093.62,square,0.4974,37.75,2197.27,4.950725,1,211,481.34
108,7667.39,sine,0.2287,35.23,7788.09,1.574209,1,42,64.54
109,12746.14,sine,0.1757,34.02,12832.03,0.673836,1,69,61.18
110,2382.50,triangle,0.7356,21.63,2402.34,0.833018,1,197,156.40
111,2611.92,triangle,0.4368,27.41,2622.07,0.388747,1,182,156.13
112,16443.19,triangle,0.9874,35.07,16542.97,0.606798,1,53,67.62
113,8148.93,sine,0.7994,31.17,8276.37,1.563825,1,22,30.25
114,9060.22,triangle,0.2001,29.85,9160.16,1.103043,1,93,112.33
115,1215.72,square,0.1507,22.38,,,0,260,222.47
116,3233.00,square,0.7714,31.67,3398.44,5.117194,1,129,165.80
117,19281.28,square,0.3571,37.37,19335.94,0.283483,1,1,66.20
118,5248.32,triangle,0.1109,39.40,5273.44,0.478564,1,1,0.95
119,1820.04,triangle,0.5749,39.86,1831.05,0.605282,1,236,176.81
120,2402.13,square,0.9724,30.46,2519.53,4.887175,1,189,204.48
121,12958.57,triangle,0.5091,32.55,13051.76,0.719089,1,64,56.79
122,12101.97,triangle,0.1409,25.62,12202.15,0.827770,1,4,3.80
123,19057.82,triangle,0.5101,32.40,19174.80,0.613850,1,4,3.78
124,6270.24,sine,0.5173,27.07,6372.07,1.623986,1,100,89.11
125,12089.47,sine,0.9770,39.72,12202.15,0.932070,1,4,4.86
